time_s,BIS,Ce_prop,Ce_remi,Cp_prop,Cp_remi,u_prop,u_remi,MAP,CO,HR,SV,TPR,ce_del,ce_bis
2845,0.3500492572667184,22.588776599046856,70.22267269541368,41.85701218479399,83.97048832724177,2.0,4.0,14.882800515811994,0.6288319413823433,30.98669558861333,20.293610836433295,0.023667373643736285,22.588776599046856,21.90135089049706
2850,0.3500492572667184,22.588776599046856,70.22267269541368,41.85701218479399,83.97048832724177,2.0,4.0,14.882800515811994,0.6288319413823433,30.98669558861333,20.293610836433295,0.023667373643736285,22.588776599046856,21.90135089049706
2855,0.34890713178705823,22.63650545967259,70.30345432467011,41.87737388398084,84.00684010143775,2.0,4.0,14.884484228679552,0.62835203155599,30.97279617879485,20.287223275830147,0.02368812939431589,22.63650545967259,21.950038384549305
2860,0.3477729933763811,22.684166493946552,70.38397501193431,41.89767771731552,84.04311733215972,2.0,4.0,14.886167378544425,0.627874349632776,30.958925553330545,20.280883086565307,0.023708831850275263,22.684166493946552,21.998657934140855
2865,0.34664676470380584,22.731759727045606,70.46423585189353,41.91792410227826,84.0793203137241,2.0,4.0,14.887849786509848,0.6273988757481644,30.94508373020635,20.274589696318806,0.023729481135515734,22.731759727045606,22.047209548118936
2870,0.345528369382194,22.779285185113377,70.54423793452948,41.93811345271637,84.11544933742255,2.0,4.0,14.889531278612997,0.6269255903454881,30.931270727587727,20.26834254133409,0.023750077374266425,22.779285185113377,22.095693236482944
2875,0.345528369382194,22.779285185113377,70.54423793452948,41.93811345271637,84.11544933742255,2.0,4.0,14.889531278612997,0.6269255903454881,30.931270727587727,20.26834254133409,0.023750077374266425,22.779285185113377,22.095693236482944
2880,0.3444177319545503,22.8267428952489,70.62398234512816,41.958246178876465,84.1515046915659,2.0,4.0,14.891211685714694,0.6264544741699235,30.917486563778688,20.262141066274282,0.023770620691066384,22.8267428952489,22.144109010371423
2885,0.34331477788030895,22.874132885495364,70.70347016429018,41.97832268743649,84.18748666152726,2.0,4.0,14.89289084339141,0.6259855082625904,30.9037312571822,20.255984724081102,0.02379111121074722,22.874132885495364,22.19245688204899
2890,0.342219433522132,22.921455184828996,70.78270246794112,41.998343381537396,84.22339552978447,2.0,4.0,14.8945685918295,0.6255186739547752,30.890004826261954,20.24987297583631,0.023811549058416075,22.921455184828996,22.240736864893588
2895,0.3411316261326789,22.96870982314803,70.86168032734203,42.018308660814554,84.25923157596202,2.0,4.0,14.896244775721566,0.6250539528622704,30.876307289505448,20.243805290625545,0.023831934359439096,22.96870982314803,22.288948973383693
2900,0.3411316261326789,22.96870982314803,70.86168032734203,42.018308660814554,84.25923157596202,2.0,4.0,14.896244775721566,0.6250539528622704,30.876307289505448,20.243805290625545,0.023831934359439096,22.96870982314803,22.288948973383693
2905,0.3400512838418024,23.015896831261763,70.94040480910023,42.03821892142889,84.29499507687223,2.0,4.0,14.897919244165031,0.6245913268798359,30.862638665388364,20.237781145404735,0.02385226723942521,23.015896831261763,22.337093223085727
2910,0.3389783356438727,23.06301624087977,71.01887697518026,42.05807455609775,84.3306863065558,2.0,4.0,14.899591850562693,0.6241307781757695,30.8489989723402,20.231800024868782,0.023872547824210374,23.06301624087977,22.385169630641553
2915,0.33791271138522916,23.11006808460116,71.09709788291492,42.077875954125446,84.36630553632189,2.0,4.0,14.901262452525462,0.6236722891865957,30.835388228711132,20.22586142132267,0.02389277623984216,23.11006808460116,22.433178213756126
2920,0.3368543417520584,23.15705239590398,71.17506858501655,42.097623501433624,84.40185303478732,2.0,4.0,14.902930911776997,0.6232158426118592,30.82180645274005,20.21996483455484,0.02391295261256474,23.15705239590398,22.481118991185244
2925,0.3368543417520584,23.15705239590398,71.17506858501655,42.097623501433624,84.40185303478732,2.0,4.0,14.902930911776997,0.6232158426118592,30.82180645274005,20.21996483455484,0.02391295261256474,23.15705239590398,22.481118991185244
2930,0.33580315825824414,23.203969209134684,71.25279012958849,42.11731758059126,84.43732906791546,2.0,4.0,14.904597094060403,0.622761421409031,30.808253662523796,20.214109771712867,0.02393307706880422,23.203969209134684,22.52899198272337
2935,0.3347590932335862,23.250818559497734,71.33026356013669,42.136958570844435,84.47273389905426,2.0,4.0,14.906260869046797,0.6223090087885157,30.794729875987528,20.2082957471813,0.023953149735154344,23.250818559497734,22.576797209191632
2940,0.3337220798121052,23.29760048304528,71.40748991558132,42.15654684814586,84.50806778897399,2.0,4.0,14.907922110245831,0.6218585882087656,30.781235110856155,20.202522282461754,0.023973170738362557,23.29760048304528,22.624534692425947
2945,0.3326920519206311,23.34431501666694,71.48447023026883,42.17608278518413,84.54333099590411,2.0,4.0,14.909580694918034,0.6214101433714944,30.767769384626902,20.196788906055097,0.02399314020531641,23.34431501666694,22.672204455265163
2950,0.3326920519206311,23.34431501666694,71.48447023026883,42.17608278518413,84.54333099590411,2.0,4.0,14.909580694918034,0.6214101433714944,30.767769384626902,20.196788906055097,0.02399314020531641,23.34431501666694,22.672204455265163
2955,0.3316689442674772,23.390962198079688,71.56120553398387,42.19556675141265,84.5785237755698,2.0,4.0,14.911236503988997,0.6209636582169898,30.75433271454291,20.191095153345746,0.02401305826303028,23.390962198079688,22.719806521539404
2960,0.330652692331455,23.437542065817834,71.6376968519615,42.21499911307844,84.61364638122781,2.0,4.0,14.912889421965355,0.6205191169195251,30.740925117567855,20.185440566488033,0.024032925038632455,23.437542065817834,22.76734091605849
2965,0.3296432323508469,23.484054659223084,71.71394520489955,42.234380233250555,84.64869906370183,2.0,4.0,14.914539336852515,0.6200765038828633,30.72754661036156,20.179824694294627,0.024052740659352534,23.484054659223084,22.814807664600472
2970,0.32864050131281886,23.530500018434722,71.78995160897101,42.25371047184833,84.68368207141727,2.0,4.0,14.916186140074101,0.6196358037358561,30.714197209256614,20.17424709212686,0.024072505252509112,23.530500018434722,22.862206793900295
2975,0.32864050131281886,23.530500018434722,71.78995160897101,42.25371047184833,84.68368207141727,2.0,4.0,14.916186140074101,0.6196358037358561,30.714197209256614,20.17424709212686,0.024072505252509112,23.530500018434722,22.862206793900295
2980,0.32764443694274803,23.57687818437987,71.86571707583664,42.272990185669315,84.71859565043557,2.0,4.0,14.917829726393112,0.6191970013281342,30.700876930235896,20.168707321787128,0.02409221894549782,23.57687818437987,22.90953833163851
2985,0.3266549776940053,23.62318919876382,71.94124261265767,42.29221972841703,84.75344004448793,2.0,4.0,14.919469993834696,0.6187600817258851,30.687585788911058,20.163204951413082,0.024111881865779637,23.62318919876382,22.956802306430166
2990,0.3256720627375671,23.669433104060523,72.01652922210864,42.31139945072841,84.78821549500856,2.0,4.0,14.921106843610588,0.6183250302077211,30.674323800501895,20.157739555373805,0.024131494140869514,23.669433104060523,23.003998747813753
2995,0.3246956319521388,23.715609943503104,72.09157790239031,42.33052970020103,84.82292224116739,2.0,4.0,14.922740180045105,0.6178918322606302,30.661090979816585,20.152310714167758,0.02415105589832528,23.715609943503104,23.051127686240264
3000,0.3246956319521388,23.715609943503104,72.09157790239031,42.33052970020103,84.82292224116739,2.0,4.0,14.922740180045105,0.6178918322606302,30.661090979816585,20.152310714167758,0.02415105589832528,23.715609943503104,23.051127686240264
3005,0.32372562591420717,23.761719761074477,72.16638964724277,42.34961082142013,84.85756051990235,2.0,4.0,14.924369910502712,0.6174604735760117,30.647887341232792,20.146918014322576,0.024170567265736832,23.761719761074477,23.098189153062403
3010,0.3227619858883486,23.807762601498098,72.24096544595854,42.368643155985275,84.89213056595106,2.0,4.0,14.92599594531714,0.6170309400457963,30.63471289867959,20.141561048296662,0.024190028370715617,23.807762601498098,23.145183180523837
